	identifier	segment_length	filename	original_wavfile	start_seconds	end_seconds	start_frames	end_frames	length_s
0	testfile2	179.08455782312924	separated_wavfiles3/testfile2/001_testfile2.wav	testfile2.wav	0.0	19.95	0	879795	19.95
1	testfile2	159.13453514739228	separated_wavfiles3/testfile2/002_testfile2.wav	testfile2.wav	19.95002267573696	47.70002267573696	879796	2103571	27.75
2	testfile2	131.38451247165534	separated_wavfiles3/testfile2/003_testfile2.wav	testfile2.wav	47.700045351473925	70.35004535147392	2103572	3102437	22.65
3	testfile2	108.73448979591836	separated_wavfiles3/testfile2/004_testfile2.wav	testfile2.wav	70.35006802721088	96.30006802721088	3102438	4246833	25.950000000000003
4	testfile2	82.7844671201814	separated_wavfiles3/testfile2/005_testfile2.wav	testfile2.wav	96.30009070294784	116.15009070294785	4246834	5122219	19.85000000000001
5	testfile2	62.934444444444445	separated_wavfiles3/testfile2/006_testfile2.wav	testfile2.wav	116.15011337868481	141.1001133786848	5122220	6222515	24.94999999999999
6	testfile2	37.984421768707485	separated_wavfiles3/testfile2/007_testfile2.wav	testfile2.wav	141.10013605442177	167.45013605442176	6222516	7384551	26.349999999999994
7	testfile2	11.634399092970522	separated_wavfiles3/testfile2/008_testfile2.wav	testfile2.wav	167.45015873015873	179.08455782312924	7384552	7897629	11.634399092970511
